Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists"
Bahrain,BHR,2005,1.844
Bahrain,BHR,2006,1.795
Bahrain,BHR,2007,1.738
Bahrain,BHR,2008,1.669
Bahrain,BHR,2009,1.57
Bahrain,BHR,2010,1.579
Bahrain,BHR,2011,1.51
Bahrain,BHR,2012,1.577
Bahrain,BHR,2013,1.475
Bahrain,BHR,2014,1.639
Bahrain,BHR,2015,1.618
Bangladesh,BGD,2002,0.558
Bangladesh,BGD,2008,0.537
Bangladesh,BGD,2009,0.555
Bangladesh,BGD,2010,0.8
Bangladesh,BGD,2011,0.597
Bangladesh,BGD,2012,0.595
Bangladesh,BGD,2014,0.765
Bangladesh,BGD,2015,0.757
Bangladesh,BGD,2017,1.56
Barbados,BRB,2001,6.834
Barbados,BRB,2005,9.161
Belarus,BLR,2010,2.883
Belarus,BLR,2011,3.272
Belarus,BLR,2012,3.409
Belarus,BLR,2013,3.443
Belarus,BLR,2014,3.416
Belgium,BEL,2010,11.545
Belgium,BEL,2011,11.663
Belgium,BEL,2012,11.753
Belgium,BEL,2013,11.909
Belgium,BEL,2014,12.04
Belgium,BEL,2015,12.086
Belgium,BEL,2016,12.217
Belize,BLZ,2009,3.568
Belize,BLZ,2017,6.779
Benin,BEN,2004,0.014
Benin,BEN,2008,0.023
Benin,BEN,2016,0.012
Bhutan,BTN,2004,0.109
Bhutan,BTN,2007,0.146
Bhutan,BTN,2008,0.2
Bhutan,BTN,2012,0.146
Bhutan,BTN,2013,0.118
Bhutan,BTN,2014,0.18
Bhutan,BTN,2015,0.191
Bhutan,BTN,2016,0.288
Bhutan,BTN,2017,0.458
Bolivia,BOL,2001,3.052
Bolivia,BOL,2007,0.351
Bolivia,BOL,2010,0.572
Bolivia,BOL,2011,0.655
Bolivia,BOL,2016,2.275
Bosnia and Herzegovina,BIH,2010,0.997
Bosnia and Herzegovina,BIH,2011,1.063
Bosnia and Herzegovina,BIH,2012,1.157
Bosnia and Herzegovina,BIH,2013,1.19
Bosnia and Herzegovina,BIH,2014,1.237
Botswana,BWA,2004,0.765
Botswana,BWA,2008,0.683
Botswana,BWA,2009,0.54
Botswana,BWA,2011,2.096
Brazil,BRA,2000,2.598
Brazil,BRA,2001,3.754
Brazil,BRA,2005,5.334
Brazil,BRA,2006,5.507
Brazil,BRA,2007,5.449
Brazil,BRA,2008,5.394
Brazil,BRA,2010,5.466
Brazil,BRA,2017,6.783
Brunei,BRN,2002,0.865
Brunei,BRN,2004,1.14
Brunei,BRN,2005,1.123
Brunei,BRN,2006,1.107
Brunei,BRN,2007,1.12
Brunei,BRN,2008,1.186
Brunei,BRN,2009,1.094
Brunei,BRN,2010,1.106
Brunei,BRN,2011,1.218
Brunei,BRN,2012,1.276
Brunei,BRN,2014,6.51
Brunei,BRN,2015,1.701
Bulgaria,BGR,2001,1.286
Burkina Faso,BFA,2004,0.174
Burkina Faso,BFA,2008,0.053
Burkina Faso,BFA,2009,0.106
Burkina Faso,BFA,2010,0.118
Burkina Faso,BFA,2011,0.139
Burkina Faso,BFA,2012,0.123
Burkina Faso,BFA,2016,0.091
Burundi,BDI,2004,0.102
Burundi,BDI,2010,0.026
Burundi,BDI,2011,0.112
Cambodia,KHM,2000,0.464
Cambodia,KHM,2008,0.41
Cambodia,KHM,2009,0.388
Cambodia,KHM,2010,0.383
Cambodia,KHM,2011,0.4
Cambodia,KHM,2012,0.33
Cambodia,KHM,2013,0.349
Cambodia,KHM,2014,0.344
Cameroon,CMR,2005,0.015
Cameroon,CMR,2007,0.021
Cameroon,CMR,2009,0.014
Cameroon,CMR,2010,0.021
Cameroon,CMR,2011,0.079
Cameroon,CMR,2016,0.085
Canada,CAN,2001,8.265
Canada,CAN,2002,8.412
Canada,CAN,2004,8.932
Canada,CAN,2006,8.295
Canada,CAN,2007,8.63
Canada,CAN,2008,8.684
Canada,CAN,2009,9.042
Canada,CAN,2012,9.065
Canada,CAN,2013,9.239
Canada,CAN,2014,9.325
Canada,CAN,2015,9.802
Canada,CAN,2016,10.025
Cape Verde,CPV,2006,0.062
Cape Verde,CPV,2007,0.041
Cape Verde,CPV,2008,0.041
Cape Verde,CPV,2009,0.06
Cape Verde,CPV,2010,0.08
Cape Verde,CPV,2011,0.059
Cape Verde,CPV,2016,0.083
Central African Republic,CAF,2004,0.042
Central African Republic,CAF,2008,0.018
Central African Republic,CAF,2009,0.023
Central African Republic,CAF,2015,0.044
Chad,TCD,2004,0.032
Chad,TCD,2012,0.054
Chad,TCD,2013,0.055
Chile,CHL,2002,0.022
Chile,CHL,2003,0.023
Chile,CHL,2004,0.023
Chile,CHL,2005,0.022
Chile,CHL,2006,0.023
Chile,CHL,2007,0.024
Chile,CHL,2008,0.023
Chile,CHL,2009,0.023
China,CHN,2000,3.212
China,CHN,2002,2.739
China,CHN,2004,2.69
China,CHN,2005,2.63
China,CHN,2006,2.645
China,CHN,2007,2.419
China,CHN,2008,2.445
China,CHN,2009,2.515
China,CHN,2010,2.588
China,CHN,2011,2.647
China,CHN,2012,2.729
China,CHN,2013,2.845
China,CHN,2014,2.93
China,CHN,2015,3.013
Comoros,COM,2004,0.251
Comoros,COM,2005,0.245
Comoros,COM,2009,0.267
Comoros,COM,2012,0.221
Congo,COG,2004,0.263
Congo,COG,2006,0.289
Congo,COG,2007,0.096
Congo,COG,2011,0.554
Congo,COG,2016,0.373
Cook Islands,COK,2001,1.093
Cook Islands,COK,2004,1.026
Cook Islands,COK,2009,0.529
Cook Islands,COK,2014,0.568
Costa Rica,CRI,2000,2.914
Costa Rica,CRI,2011,8.214
Costa Rica,CRI,2013,1.893
Cote d'Ivoire,CIV,2004,0.438
Cote d'Ivoire,CIV,2005,0.07
Cote d'Ivoire,CIV,2008,0.212
Cote d'Ivoire,CIV,2014,1.078
Croatia,HRV,2010,6.587
Croatia,HRV,2011,6.89
Croatia,HRV,2012,6.992
Croatia,HRV,2013,6.971
Croatia,HRV,2014,7.103
Croatia,HRV,2015,6.603
Cyprus,CYP,2002,1.474
Cyprus,CYP,2008,1.553
Cyprus,CYP,2010,1.627
Cyprus,CYP,2011,1.689
Cyprus,CYP,2012,1.718
Cyprus,CYP,2013,1.635
Cyprus,CYP,2014,1.632
Czech Republic,CZE,2010,5.752
Czech Republic,CZE,2011,5.887
Czech Republic,CZE,2012,5.976
Czech Republic,CZE,2013,6.025
Czech Republic,CZE,2014,6.344
Czech Republic,CZE,2015,6.568
Czech Republic,CZE,2016,6.759
Democratic Republic of Congo,COD,2009,0.045
Denmark,DNK,2010,4.722
Denmark,DNK,2011,4.813
Denmark,DNK,2012,4.964
Denmark,DNK,2013,5.039
Denmark,DNK,2014,5.053
Denmark,DNK,2015,5.129
Djibouti,DJI,2004,0.234
Djibouti,DJI,2005,0.23
Djibouti,DJI,2006,0.201
Djibouti,DJI,2008,3.232
Djibouti,DJI,2014,2.302
Dominica,DMA,2001,2.582
Dominican Republic,DOM,2000,3.889
Ecuador,ECU,2000,0.386
Ecuador,ECU,2001,0.379
Ecuador,ECU,2002,0.378
Ecuador,ECU,2003,0.374
Ecuador,ECU,2009,0.452
Ecuador,ECU,2011,0.534
Ecuador,ECU,2015,0.416
Egypt,EGY,2014,3.214
Egypt,EGY,2015,3.9
Egypt,EGY,2016,3.988
Egypt,EGY,2017,4.312
El Salvador,SLV,2005,3.782
El Salvador,SLV,2008,3.79
El Salvador,SLV,2017,6.556
Equatorial Guinea,GNQ,2004,0.166
Eritrea,ERI,2004,0.044
Estonia,EST,2000,1.958
Estonia,EST,2010,6.321
Estonia,EST,2011,6.263
Estonia,EST,2012,6.393
Estonia,EST,2013,6.674
Estonia,EST,2014,6.743
Estonia,EST,2015,7.207
Estonia,EST,2016,7.337
Ethiopia,ETH,2003,0.024
Ethiopia,ETH,2004,0.023
Ethiopia,ETH,2005,0.025
Ethiopia,ETH,2006,0.021
Ethiopia,ETH,2007,0.022
Ethiopia,ETH,2008,0.05
Ethiopia,ETH,2009,0.074
Federated States of Micronesia,,2003,1.873
Federated States of Micronesia,,2005,1.507
Fiji,FJI,2003,1.102
Fiji,FJI,2009,0.892
Fiji,FJI,2015,1.065
Finland,FIN,2002,11.181
Finland,FIN,2010,11.078
Finland,FIN,2011,11.128
Finland,FIN,2012,11.563
Finland,FIN,2013,11.57
Finland,FIN,2014,10.968
France,FRA,2000,9.798
France,FRA,2001,10.076
France,FRA,2002,10.304
France,FRA,2003,10.555
France,FRA,2007,11.378
France,FRA,2008,11.577
France,FRA,2011,10.851
France,FRA,2012,10.924
France,FRA,2013,10.901
France,FRA,2014,10.926
France,FRA,2015,10.898
France,FRA,2016,10.82
Gabon,GAB,2004,0.242
Gabon,GAB,2016,0.232
Gambia,GMB,2003,0.133
Gambia,GMB,2004,0.107
Gambia,GMB,2005,0.076
Gambia,GMB,2006,0.074
Gambia,GMB,2007,0.084
Gambia,GMB,2008,0.082
Gambia,GMB,2015,0.025
Georgia,GEO,2010,0.834
Georgia,GEO,2011,0.801
Georgia,GEO,2012,0.743
Georgia,GEO,2013,0.848
Georgia,GEO,2014,0.771
Georgia,GEO,2015,0.797
Germany,DEU,2010,6.256
Germany,DEU,2011,6.259
Germany,DEU,2012,6.224
Germany,DEU,2013,6.329
Germany,DEU,2014,6.382
Germany,DEU,2015,6.434
Germany,DEU,2016,6.401
Ghana,GHA,2007,0.457
Ghana,GHA,2008,0.235
Ghana,GHA,2013,3.63
Greece,GRC,2010,9.75
Greece,GRC,2011,9.833
Greece,GRC,2012,9.84
Greece,GRC,2013,10.123
Greece,GRC,2014,10.279
Grenada,GRD,2000,2.165
Grenada,GRD,2001,2.161
Grenada,GRD,2002,2.155
Grenada,GRD,2003,2.148
Grenada,GRD,2006,2.033
Grenada,GRD,2011,8.468
Grenada,GRD,2016,6.963
Guatemala,GTM,2018,0.039
Guinea,GIN,2000,0.161
Guinea,GIN,2005,0.183
Guinea,GIN,2016,0.115
Guinea-Bissau,GNB,2008,0.074
Guinea-Bissau,GNB,2009,0.059
Guyana,GUY,2009,0.201
Guyana,GUY,2018,0.089
Haiti,HTI,2011,0.084
Haiti,HTI,2018,0.302
Honduras,HND,2000,0.538
Hungary,HUN,2010,5.863
Hungary,HUN,2011,5.8
Hungary,HUN,2012,5.758
Hungary,HUN,2013,7.645
Hungary,HUN,2014,7.738
Hungary,HUN,2015,7.194
Hungary,HUN,2016,7.539
Iceland,ISL,2000,8.203
Iceland,ISL,2001,8.59
Iceland,ISL,2002,9.569
Iceland,ISL,2003,9.688
Iceland,ISL,2004,9.859
Iceland,ISL,2005,10.136
Iceland,ISL,2006,10.41
Iceland,ISL,2007,10.714
Iceland,ISL,2008,10.582
Iceland,ISL,2009,10.566
Iceland,ISL,2010,11.396
Iceland,ISL,2011,11.75
Iceland,ISL,2012,10.998
Iceland,ISL,2013,11.009
Iceland,ISL,2014,11.05
Iceland,ISL,2015,11.205
Iceland,ISL,2016,10.977
Iceland,ISL,2017,5.104
India,IND,2003,5.049
India,IND,2004,1.154
India,IND,2006,4.976
India,IND,2009,5.401
India,IND,2010,5.33
India,IND,2011,5.269
India,IND,2012,4.994
India,IND,2013,5.195
India,IND,2016,5.6
India,IND,2017,6.784
Indonesia,IDN,2003,0.062
Indonesia,IDN,2009,0.084
Indonesia,IDN,2015,1.175
Indonesia,IDN,2017,1.736
Iran,IRN,2004,1.386
Iran,IRN,2005,1.974
Iran,IRN,2006,1.005
Iran,IRN,2014,2.264
Iran,IRN,2015,2
Iraq,IRQ,2010,1.845
Iraq,IRQ,2014,2.459
Iraq,IRQ,2016,2.6
Iraq,IRQ,2017,2.858
Ireland,IRL,2010,9.871
Ireland,IRL,2011,10.275
Ireland,IRL,2012,10.697
Ireland,IRL,2013,11.205
Ireland,IRL,2014,11.606
Ireland,IRL,2015,11.044
Israel,ISR,2010,7.72
Israel,ISR,2011,7.663
Israel,ISR,2012,7.75
Israel,ISR,2013,7.502
Israel,ISR,2014,7.304
Israel,ISR,2015,7.729
Israel,ISR,2016,7.487
Italy,ITA,2010,8.678
Italy,ITA,2011,9.636
Italy,ITA,2012,9.657
Italy,ITA,2013,9.842
Italy,ITA,2014,10.868
Italy,ITA,2015,11.754
Italy,ITA,2016,11.791
Italy,ITA,2017,11.513
Jamaica,JAM,2008,0.344
Jamaica,JAM,2012,0.246
Jamaica,JAM,2013,0.259
Jamaica,JAM,2014,0.252
Jamaica,JAM,2015,0.286
Jamaica,JAM,2016,0.219
Japan,JPN,2000,17.052
Japan,JPN,2002,17.962
Japan,JPN,2004,18.826
Japan,JPN,2006,19.663
Japan,JPN,2008,20.828
Japan,JPN,2010,16.003
Japan,JPN,2012,16.018
Japan,JPN,2014,16.86
Japan,JPN,2016,18.019
Jordan,JOR,2000,8.483
Jordan,JOR,2001,9.602
Jordan,JOR,2002,11.281
Jordan,JOR,2003,11.735
Jordan,JOR,2005,12.425
Jordan,JOR,2006,11.328
Jordan,JOR,2007,13.058
Jordan,JOR,2008,11.888
Jordan,JOR,2009,12.328
Jordan,JOR,2010,12.741
Jordan,JOR,2012,17.316
Jordan,JOR,2013,13.834
Jordan,JOR,2014,13.866
Jordan,JOR,2015,13.184
Jordan,JOR,2016,15.499
Jordan,JOR,2017,16.149
Kazakhstan,KAZ,2010,6.869
Kazakhstan,KAZ,2011,7.933
Kazakhstan,KAZ,2012,8.002
Kazakhstan,KAZ,2013,8.036
Kazakhstan,KAZ,2014,8.099
Kenya,KEN,2004,0.505
Kenya,KEN,2008,0.731
Kenya,KEN,2009,0.726
Kenya,KEN,2010,0.749
Kenya,KEN,2012,0.476
Kenya,KEN,2013,0.491
Kenya,KEN,2014,0.512
Kiribati,KIR,2004,0.221
Kiribati,KIR,2006,0.106
Kiribati,KIR,2010,0.39
Kiribati,KIR,2011,0.382
Kiribati,KIR,2013,0.276
Kiribati,KIR,2016,0.262
Kuwait,KWT,2001,3.423
Kuwait,KWT,2006,3.012
Kuwait,KWT,2007,2.964
Kuwait,KWT,2008,3.031
Kuwait,KWT,2009,3.15
Kuwait,KWT,2014,4.796
Kyrgyzstan,KGZ,2010,0.312
Kyrgyzstan,KGZ,2011,0.327
Kyrgyzstan,KGZ,2012,0.504
Kyrgyzstan,KGZ,2013,0.558
Kyrgyzstan,KGZ,2014,0.419
Laos,LAO,2012,1.853
Laos,LAO,2014,1.94
Latvia,LVA,2010,6.763
Latvia,LVA,2011,6.49
Latvia,LVA,2012,6.785
Latvia,LVA,2013,7.899
Latvia,LVA,2014,7.678
Latvia,LVA,2015,7.899
Latvia,LVA,2016,8.338
Lebanon,LBN,2001,9.997
Lebanon,LBN,2004,7.765
Lebanon,LBN,2005,10.296
Lebanon,LBN,2007,11.421
Lebanon,LBN,2009,10.886
Lebanon,LBN,2010,12.7
Lebanon,LBN,2011,14.574
Lebanon,LBN,2013,13.267
Lebanon,LBN,2014,13.196
Lebanon,LBN,2015,12.971
Lebanon,LBN,2016,13.184
Lebanon,LBN,2017,13.758
Lesotho,LSO,2003,0.016
Liberia,LBR,2004,0.091
Liberia,LBR,2008,0.025
Liberia,LBR,2010,0.117
Libya,LBY,2004,1.981
Libya,LBY,2008,3.687
Libya,LBY,2009,3.717
Libya,LBY,2014,6.331
Libya,LBY,2015,4.999
Libya,LBY,2017,6.206
Lithuania,LTU,2003,6.648
Lithuania,LTU,2017,9.248
Luxembourg,LUX,2010,7.364
Luxembourg,LUX,2011,7.194
Luxembourg,LUX,2012,7.137
Luxembourg,LUX,2013,7.013
Luxembourg,LUX,2014,6.867
Luxembourg,LUX,2015,6.988
Luxembourg,LUX,2016,7.052
Luxembourg,LUX,2017,7.129
Macedonia,MKD,2010,3.342
Macedonia,MKD,2011,3.773
Macedonia,MKD,2012,4.282
Macedonia,MKD,2013,4.48
Macedonia,MKD,2015,4.949
Madagascar,MDG,2002,0.005
Madagascar,MDG,2003,0.005
Madagascar,MDG,2004,0.004
Madagascar,MDG,2005,0.004
Madagascar,MDG,2006,0.004
Madagascar,MDG,2007,0.004
Madagascar,MDG,2008,0.004
Madagascar,MDG,2009,0.003
Madagascar,MDG,2010,0.003
Madagascar,MDG,2011,0.002
Madagascar,MDG,2012,0.003
Madagascar,MDG,2016,0.002
Malawi,MWI,2008,0.205
Malaysia,MYS,2000,1.006
Malaysia,MYS,2002,1.19
Malaysia,MYS,2007,1.717
Malaysia,MYS,2010,2.76
Malaysia,MYS,2011,3.014
Malaysia,MYS,2012,3.309
Malaysia,MYS,2015,3.421
Maldives,MDV,2004,7.764
Maldives,MDV,2007,8.48
Maldives,MDV,2009,5.811
Maldives,MDV,2010,6.776
Maldives,MDV,2015,4.756
Mali,MLI,2004,0.283
Mali,MLI,2007,0.019
Mali,MLI,2009,0.081
Mali,MLI,2010,0.09
Malta,MLT,2010,7.234
Malta,MLT,2011,8.007
Malta,MLT,2012,10.789
Malta,MLT,2013,11.082
Malta,MLT,2014,11.584
Malta,MLT,2015,13.05
Marshall Islands,MHL,2007,1.152
Marshall Islands,MHL,2010,0.382
Marshall Islands,MHL,2012,0.759
Mauritania,MRT,2004,0.204
Mauritania,MRT,2009,0.22
Mauritius,MUS,2004,2.353
Mauritius,MUS,2007,2.65
Mauritius,MUS,2008,2.808
Mauritius,MUS,2009,3.103
Mauritius,MUS,2010,3.205
Mauritius,MUS,2011,3.261
Mauritius,MUS,2012,3.447
Mauritius,MUS,2013,3.664
Mauritius,MUS,2014,3.929
Mauritius,MUS,2015,3.946
Mexico,MEX,2010,0.476
Moldova,MDA,2010,4.355
Moldova,MDA,2011,4.596
Moldova,MDA,2013,4.668
Monaco,MCO,2011,24.8
Monaco,MCO,2012,25.397
Monaco,MCO,2013,12.105
Monaco,MCO,2014,25.722
Mongolia,MNG,2002,3.687
Mongolia,MNG,2008,4.14
Mongolia,MNG,2009,4.078
Mongolia,MNG,2010,4.335
Mongolia,MNG,2011,4.65
Mongolia,MNG,2012,5.241
Mongolia,MNG,2013,13.942
Mongolia,MNG,2014,11.803
Mongolia,MNG,2015,5.052
Mongolia,MNG,2016,9.127
Montenegro,MNE,2010,1.458
Montenegro,MNE,2011,1.471
Montenegro,MNE,2012,1.485
Montenegro,MNE,2013,1.674
Montenegro,MNE,2014,1.689
Montenegro,MNE,2015,1.735
Morocco,MAR,2004,2.39
Morocco,MAR,2009,2.815
Morocco,MAR,2017,2.586
Mozambique,MOZ,2004,0.007
Mozambique,MOZ,2009,0.022
Mozambique,MOZ,2010,0.02
Mozambique,MOZ,2011,0.022
Mozambique,MOZ,2012,0.028
Mozambique,MOZ,2013,0.039
Mozambique,MOZ,2017,0.074
Myanmar,MMR,2004,0.026
Myanmar,MMR,2017,0.387
Namibia,NAM,2004,0.966
Namibia,NAM,2007,1.149
Nauru,NRU,2004,9.901
Nauru,NRU,2011,1.961
Nauru,NRU,2015,1.77
Nepal,NPL,2004,0.105
Nepal,NPL,2012,0.434
Nepal,NPL,2017,0.925
Netherlands,NLD,2010,1.983
Netherlands,NLD,2011,2.07
Netherlands,NLD,2012,2.051
Netherlands,NLD,2013,2.118
Netherlands,NLD,2014,2.152
Netherlands,NLD,2015,2.125
Netherlands,NLD,2016,2.154
New Zealand,NZL,2007,6.825
New Zealand,NZL,2010,6.29
New Zealand,NZL,2011,6.385
New Zealand,NZL,2012,6.404
New Zealand,NZL,2013,6.49
New Zealand,NZL,2014,6.547
New Zealand,NZL,2015,6.664
New Zealand,NZL,2016,6.752
New Zealand,NZL,2017,6.794
Nicaragua,NIC,2014,1.897
Niger,NER,2004,0.015
Niger,NER,2008,0.012
Niger,NER,2009,0.014
Nigeria,NGA,2004,0.469
Nigeria,NGA,2005,0.869
Nigeria,NGA,2006,0.877
Nigeria,NGA,2007,0.901
Nigeria,NGA,2008,0.878
Nigeria,NGA,2010,0.731
Nigeria,NGA,2011,0.944
Niue,NIU,2003,5.556
Niue,NIU,2004,5.882
Niue,NIU,2006,5.882
Niue,NIU,2008,6.25
North Korea,PRK,2003,3.103
North Korea,PRK,2008,3.543
North Korea,PRK,2012,3.708
North Korea,PRK,2014,3.744
North Korea,PRK,2016,3.979
North Korea,PRK,2017,3.96
Norway,NOR,2010,6.386
Norway,NOR,2011,6.46
Norway,NOR,2012,6.718
Norway,NOR,2013,6.906
Norway,NOR,2014,7.217
Norway,NOR,2015,7.429
Norway,NOR,2016,7.803
Norway,NOR,2017,7.994
Oman,OMN,2000,2.183
Oman,OMN,2004,2.855
Oman,OMN,2005,2.998
Oman,OMN,2006,3.117
Oman,OMN,2007,3.44
Oman,OMN,2008,3.447
Oman,OMN,2009,3.77
Oman,OMN,2010,4.113
Oman,OMN,2011,4.195
Oman,OMN,2012,4.783
Oman,OMN,2013,4.828
Oman,OMN,2014,4.981
Oman,OMN,2015,5.074
Oman,OMN,2016,5.469
Oman,OMN,2017,5.274
Pakistan,PAK,2004,0.537
Pakistan,PAK,2012,1.4
Palau,PLW,2007,0.498
Palau,PLW,2010,0.976
Papua New Guinea,PNG,2012,0.476
Paraguay,PRY,2002,1.534
Paraguay,PRY,2018,0.32
Peru,PER,2007,2.884
Peru,PER,2009,0.628
Peru,PER,2012,0.507
Philippines,PHL,2002,5.699
Philippines,PHL,2004,5.865
Philippines,PHL,2011,6.192
Poland,POL,2010,6.576
Poland,POL,2011,6.86
Poland,POL,2012,7.005
Poland,POL,2013,7.164
Poland,POL,2014,7.246
Poland,POL,2015,7.349
Poland,POL,2016,7.657
Portugal,PRT,2002,7.624
Portugal,PRT,2003,8.235
Portugal,PRT,2004,8.616
Portugal,PRT,2005,8.986
Portugal,PRT,2006,9.52
Portugal,PRT,2007,9.517
Portugal,PRT,2008,10.072
Portugal,PRT,2009,10.644
Portugal,PRT,2010,7.204
Portugal,PRT,2011,7.463
Portugal,PRT,2012,7.318
Portugal,PRT,2013,7.664
Portugal,PRT,2014,8.264
Portugal,PRT,2015,8.361
Portugal,PRT,2016,8.473
Qatar,QAT,2005,12.718
Qatar,QAT,2006,10.451
Qatar,QAT,2014,8.996
Qatar,QAT,2016,10.728
Romania,ROU,2002,3.348
Romania,ROU,2010,6.621
Romania,ROU,2011,7.14
Romania,ROU,2012,7.614
Romania,ROU,2013,8.088
Romania,ROU,2016,9.296
Russia,RUS,2010,0.583
Russia,RUS,2011,0.571
Russia,RUS,2012,0.529
Russia,RUS,2013,0.534
Russia,RUS,2014,0.495
Rwanda,RWA,2008,0.029
Rwanda,RWA,2009,0.036
Rwanda,RWA,2015,0.098
Saint Lucia,LCA,2001,1.451
Saint Vincent and the Grenadines,VCT,2001,2.13
Saint Vincent and the Grenadines,VCT,2004,3.315
Samoa,WSM,2003,1.125
Samoa,WSM,2008,0.872
Samoa,WSM,2013,0.734
San Marino,SMR,2011,7.302
San Marino,SMR,2012,7.21
San Marino,SMR,2013,7.121
San Marino,SMR,2014,6.728
Sao Tome and Principe,STP,2004,0.132
Saudi Arabia,SAU,2008,6.115
Saudi Arabia,SAU,2009,5.605
Saudi Arabia,SAU,2010,5.443
Saudi Arabia,SAU,2011,5.424
Saudi Arabia,SAU,2012,5.36
Saudi Arabia,SAU,2014,7.031
Saudi Arabia,SAU,2016,7.9
Senegal,SEN,2004,0.058
Senegal,SEN,2008,0.088
Senegal,SEN,2013,0.571
Senegal,SEN,2016,0.11
Serbia,SRB,2009,2.244
Serbia,SRB,2010,2.488
Serbia,SRB,2011,2.62
Serbia,SRB,2012,2.655
Serbia,SRB,2013,2.674
Serbia,SRB,2014,2.638
Serbia,SRB,2015,2.376
Serbia,SRB,2016,8.138
Seychelles,SYC,2004,0.571
Seychelles,SYC,2005,0.789
Seychelles,SYC,2006,0.446
Seychelles,SYC,2007,0.443
Seychelles,SYC,2008,0.441
Seychelles,SYC,2009,0.44
Seychelles,SYC,2010,0.438
Seychelles,SYC,2011,0.545
Seychelles,SYC,2012,0.433
Seychelles,SYC,2016,0.331
Sierra Leone,SLE,2004,0.154
Sierra Leone,SLE,2008,0.028
Sierra Leone,SLE,2010,0.051
Sierra Leone,SLE,2011,0.298
Singapore,SGP,2001,2.839
Singapore,SGP,2003,3.012
Singapore,SGP,2004,2.947
Singapore,SGP,2005,2.961
Singapore,SGP,2006,3.081
Singapore,SGP,2007,3.134
Singapore,SGP,2008,3.187
Singapore,SGP,2009,3.339
Singapore,SGP,2010,3.575
Singapore,SGP,2011,3.889
Singapore,SGP,2012,3.76
Singapore,SGP,2013,4.078
Singapore,SGP,2016,5.113
Slovakia,SVK,2009,5.401
Slovakia,SVK,2013,6.144
Slovakia,SVK,2015,7.034
Slovenia,SVN,2010,5.388
Slovenia,SVN,2011,5.508
Slovenia,SVN,2012,5.625
Slovenia,SVN,2013,5.755
Slovenia,SVN,2014,6.007
Slovenia,SVN,2015,6.242
Slovenia,SVN,2016,6.526
Solomon Islands,SLB,2005,1.128
Solomon Islands,SLB,2011,0.815
Solomon Islands,SLB,2012,1.106
Solomon Islands,SLB,2013,1.331
Solomon Islands,SLB,2016,1.236
South Africa,ZAF,2004,2.3
South Africa,ZAF,2011,2.452
South Africa,ZAF,2012,2.574
South Africa,ZAF,2014,2.749
South Africa,ZAF,2015,2.855
South Africa,ZAF,2016,2.725
South Africa,ZAF,2017,1.521
South Korea,KOR,2004,11.03
South Korea,KOR,2005,11.257
South Korea,KOR,2006,11.421
South Korea,KOR,2007,11.654
South Korea,KOR,2008,11.858
South Korea,KOR,2009,12.094
South Korea,KOR,2010,6.488
South Korea,KOR,2011,6.763
South Korea,KOR,2012,6.518
South Korea,KOR,2013,6.485
South Korea,KOR,2014,6.479
South Korea,KOR,2015,6.563
South Korea,KOR,2016,6.683
South Korea,KOR,2017,7.254
Spain,ESP,2000,12.409
Spain,ESP,2001,12.718
Spain,ESP,2002,13.031
Spain,ESP,2003,13.247
